Date,Price,Open,High,Low,Vol.,Change %,Year,Month,MA7,MA30,Daily_Return
2012-09-06,24563.22,24358.62,24587.97,24336.24,0.0,0.84,2012,9,23989.104285714282,23436.085333333333,0.8399490611537219
2012-09-07,24838.7,24563.22,24840.15,24563.22,0.0,1.12,2012,9,24156.045714285716,23493.048000000003,1.1215141988713206
2012-09-10,24671.47,24838.7,24969.81,24694.12,0.0,-0.67,2012,9,24294.207142857143,23544.876666666667,-0.6732638986742479
2012-09-11,24568.58,24695.88,24695.88,24486.35,0.0,-0.42,2012,9,24411.03,23587.402666666665,-0.41704041145500526
2012-09-12,24839.87,24568.58,24855.81,24552.16,0.0,1.1,2012,9,24550.43285714286,23638.657666666666,1.1042152212296985
2012-09-13,25148.48,24841.24,25148.84,24839.87,0.0,1.24,2012,9,24712.705714285716,23708.22766666667,1.2423978064297403
2012-09-14,25337.18,25148.6,25365.47,25126.44,0.0,0.75,2012,9,24852.5,23775.15566666667,0.7503435595312302
2012-09-17,25373.83,25340.43,25377.03,25314.13,0.0,0.14,2012,9,24968.30142857143,23837.996,0.14464908880942318
2012-09-18,25456.01,25340.42,25425.23,25262.2,0.0,0.32,2012,9,25056.48857142857,23902.424333333332,0.323877002407591
2012-09-19,25642.39,25473.67,25737.52,25456.01,0.0,0.73,2012,9,25195.191428571427,23976.548666666666,0.7321650172199101
2012-09-20,25875.31,25642.83,25905.85,25571.3,0.0,0.91,2012,9,25381.867142857143,24059.332666666665,0.9083396672463051
2012-09-21,25873.71,25875.75,25970.3,25803.01,0.0,-0.01,2012,9,25529.558571428573,24149.570333333333,-0.006183500796719255
2012-09-24,25839.0,25875.34,25922.76,25817.25,0.0,-0.13,2012,9,25628.204285714284,24238.24133333333,-0.1341516156747491
2012-09-25,25947.6,25841.05,26066.97,25836.78,0.0,0.42,2012,9,25715.407142857144,24328.525,0.4202949030535086
2012-09-26,25774.53,25947.6,25963.63,25770.43,0.0,-0.67,2012,9,25772.649999999998,24411.890666666666,-0.666998103870875
2012-09-27,25710.55,25774.7,25790.66,25680.41,0.0,-0.25,2012,9,25809.012857142854,24498.065000000002,-0.2482295506455401
2012-09-28,26011.64,25710.55,26039.73,25658.85,0.0,1.17,2012,9,25861.762857142858,24594.951333333334,1.1710756868289485
2012-10-02,26023.1,26011.64,26193.92,25934.13,0.0,0.04,2012,10,25882.875714285714,24693.496666666666,0.04405719900781868
2012-10-03,26448.61,26005.12,26209.45,25951.22,0.0,1.64,2012,10,25965.004285714287,24803.74766666667,1.6351241781340509
2012-10-04,26448.61,26448.61,26448.61,26448.61,0.0,0.0,2012,10,26052.09142857143,24912.067,0.0
2012-10-05,26442.67,26447.89,26492.15,26358.99,0.0,-0.02,2012,10,26122.815714285713,25020.598333333335,-0.022458647165213286
2012-10-08,26618.7,26445.14,26650.23,26435.17,0.0,0.67,2012,10,26243.411428571428,25127.90233333333,0.6657043331857349
2012-10-09,26840.87,26620.22,26846.91,26486.88,0.0,0.83,2012,10,26404.885714285716,25239.559,0.8346388065532784
2012-10-10,27006.77,26868.92,27075.04,26840.87,0.0,0.62,2012,10,26547.04714285714,25355.397,0.6180872676630811
2012-10-11,27371.3,27013.31,27372.86,27006.77,0.0,1.35,2012,10,26739.647142857142,25478.77,1.34977266811247
2012-10-12,27287.85,27371.08,27403.26,27251.74,0.0,-0.3,2012,10,26859.538571428573,25598.220333333335,-0.30488139036144446
2012-10-15,27077.66,27296.17,27306.74,27077.66,0.0,-0.77,2012,10,26949.402857142853,25709.114999999998,-0.7702695521999647
2012-10-16,27109.62,27076.49,27126.55,27008.15,0.0,0.12,2012,10,27044.68142857143,25817.300666666662,0.11803087859143524
2012-10-17,27194.13,27109.62,27292.39,26971.02,0.0,0.31,2012,10,27126.885714285712,25923.352666666666,0.3117343585044896
2012-10-18,27271.5,27188.37,27346.87,27188.37,0.0,0.28,2012,10,27188.404285714285,26020.448666666667,0.2845099291648667
2012-10-19,27296.36,27271.88,27342.03,27266.17,0.0,0.09,2012,10,27229.774285714288,26111.553333333333,0.0911574354179212
2012-10-22,27272.57,27296.18,27312.88,27251.37,0.0,-0.09,2012,10,27215.670000000002,26192.682333333334,-0.08715447773989249
2012-10-23,27217.27,27258.9,27272.57,27146.52,0.0,-0.2,2012,10,27205.587142857144,26277.542333333335,-0.20276783596118175
2012-10-24,26876.07,27192.24,27245.04,26875.26,0.0,-1.25,2012,10,27176.788571428573,26354.458666666666,-1.2536158108436335
2012-10-29,26982.55,26876.07,27116.51,26875.83,0.0,0.4,2012,10,27158.635714285716,26425.881333333335,0.3961888773172495
2012-10-30,26739.22,26982.55,27038.51,26706.23,0.0,-0.9,2012,10,27093.648571428574,26478.906,-0.9018050554895574
2012-10-31,26430.92,26739.22,26781.06,26283.9,0.0,-1.15,2012,10,26973.565714285716,26515.364,-1.1529880078775756
2012-11-01,26602.54,26427.78,26803.96,26427.37,0.0,0.65,2012,11,26874.44857142857,26556.321,0.6493152716591233
2012-11-02,26559.55,26587.74,26602.54,26504.8,0.0,-0.16,2012,11,26772.588571428572,26593.105666666666,-0.16160111026992663
2012-11-05,26600.1,26559.55,26631.8,26512.45,0.0,0.15,2012,11,26684.42142857143,26625.029333333332,0.1526757795218714
2012-11-06,26724.02,26600.1,26726.45,26599.1,0.0,0.47,2012,11,26662.7,26653.319666666666,0.46586291028982707
2012-11-07,26792.27,26724.02,26880.03,26625.11,0.0,0.26,2012,11,26635.51714285714,26683.938333333335,0.2553882237777083
2012-11-08,26883.76,26792.27,26885.81,26667.99,0.0,0.34,2012,11,26656.165714285715,26718.76366666667,0.3414790907974474
2012-11-09,26718.3,26883.76,26883.76,26692.43,0.0,-0.62,2012,11,26697.219999999998,26744.453666666665,-0.6154645034771922
2012-11-12,26609.34,26216.89,26267.56,26103.24,0.0,-0.41,2012,11,26698.191428571427,26772.28066666667,-0.407810377157225
2012-11-13,26290.42,26609.34,26609.58,26243.27,0.0,-1.2,2012,11,26659.744285714285,26791.609666666664,-1.1985265324130578
2012-11-14,26346.7,26290.42,26413.53,26269.16,0.0,0.21,2012,11,26623.544285714284,26802.778333333332,0.21407037240182003
2012-11-15,26356.63,26344.62,26409.6,26323.22,0.0,0.04,2012,11,26571.059999999998,26813.896,0.037689729643552994
2012-11-16,26400.94,26356.63,26401.15,26336.39,0.0,0.17,2012,11,26515.155714285713,26812.306999999997,0.16811709235966532
2012-11-19,26267.57,26400.94,26459.83,26013.58,0.0,-0.51,2012,11,26427.12857142857,26806.27233333333,-0.5051714067756619
2012-11-20,26358.73,26266.66,26359.14,26265.1,0.0,0.35,2012,11,26375.76142857143,26803.47433333333,0.34704390242417116
2012-11-21,26303.41,26324.88,26449.5,26265.62,0.0,-0.21,2012,11,26332.057142857146,26792.964666666663,-0.20987354094829103
2012-11-22,26269.61,26324.14,26378.21,26235.95,0.0,-0.13,2012,11,26329.084285714285,26773.922666666665,-0.12850044918130132
2012-11-23,26322.5,26273.17,26324.0,26263.16,0.0,0.2,2012,11,26325.627142857145,26751.113666666664,0.20133530722381554
2012-11-26,26363.99,26322.18,26466.83,26302.6,0.0,0.16,2012,11,26326.678571428572,26717.53666666667,0.15762180643936752
2012-11-27,26226.25,26360.87,26443.33,26252.0,0.0,-0.52,2012,11,26301.722857142857,26682.15,-0.5224550608614265
2012-11-28,26342.85,26232.69,26345.5,26215.43,0.0,0.44,2012,11,26312.477142857144,26657.656333333336,0.4445927267527683
2012-11-29,26402.15,26344.9,26419.91,26342.85,0.0,0.23,2012,11,26318.679999999997,26634.074000000004,0.2251085209079573
2012-11-30,26495.1,26405.17,26495.1,26380.68,0.0,0.35,2012,11,26346.064285714285,26610.773,0.3520546622149956
2012-12-03,26380.68,26494.69,26501.13,26435.39,0.0,-0.43,2012,12,26361.931428571428,26581.079,-0.4318534370506222
2012-12-04,26382.54,26371.82,26408.46,26317.31,0.0,0.01,2012,12,26370.50857142857,26550.618333333336,0.007050614313208747
2012-12-05,26435.89,26381.12,26484.7,26381.12,0.0,0.2,2012,12,26380.780000000002,26522.729,0.20221707235164033
2012-12-06,26546.2,26443.13,26564.96,26426.6,0.0,0.42,2012,12,26426.487142857142,26500.359999999997,0.41727363822441355
2012-12-07,26670.22,26551.48,26674.86,26498.1,0.0,0.47,2012,12,26473.254285714287,26493.498333333337,0.46718551054387714
2012-12-10,26822.09,26671.72,26835.36,26671.72,0.0,0.57,2012,12,26533.245714285713,26488.149666666668,0.5694366225700298
